IPI,Intrepid Potash Inc,Basic Materials,,,
BGC,General Cable Corp.,Industrials,,,
BGG,Briggs & Stratton Corp,Industrials,,,
BMI,Badger Meter Inc,Industrials,,,
BRC,Brady Corporation,Industrials,,,
CDI,CDI Corp,Industrials,,,
CEB,Corporate Executive Board Co,Industrials,,,
CIR,Circor Intl Inc,Industrials,,,
CLC,CLARCOR Inc,Industrials,,,
CLH,Clean Harbors Inc,Industrials,,,
CNW,Con-way Inc,Industrials,,,
CPRT,Copart Inc,Industrials,,,
CR,Crane Co,Industrials,,,
CSL,Carlisle Cos,Industrials,,,
CUB,Cubic Corp,Industrials,,,
CVEO,Civeo Corp.,Industrials,,,
CW,Curtiss-Wright Corp,Industrials,,,
CXW,Corrections Corp of America,Industrials,,,
DCI,Donaldson Co,Industrials,,,
DLX,Deluxe Corp,Industrials,,,
DNOW,NOW Inc.,Industrials,,,
DXPE,DXP Enterprises Inc.,Industrials,,,
DY,Dycom Industries Inc,Industrials,,,
EGL,Engility Holdings Inc.,Industrials,,,
EME,Emcor Group Inc,Industrials,,,
ENS,EnerSys,Industrials,,,
ESE,ESCO Technologies Inc,Industrials,,,
ESL,Esterline Technologies,Industrials,,,
EXPO,Exponent Inc,Industrials,,,
FBHS,Fortune Brands Home & Security Inc.,Industrials,,,
FCN,FTI Consulting,Industrials,,,
FELE,Franklin Electric Co.,Industrials,,,
FIX,Comfort Systems USA Inc,Industrials,,,
FSS,Federal Signal Corp,Industrials,,,
FWRD,Forward Air Corp,Industrials,,,
GEO,Geo Group Inc,Industrials,,,
GFF,Griffon Corp,Industrials,,,
GGG,Graco Inc,Industrials,,,
GK,G & K Services Cl'A',Industrials,,,
GMT,GATX Corp,Industrials,,,
GVA,Granite Construction Inc,Industrials,,,
GWR,Genesee & Wyoming Inc.,Industrials,,,
GY,GenCorp Inc,Industrials,,,
HCSG,Healthcare Services Group Inc,Industrials,,,
HII,Huntington Ingalls Industries Inc.,Industrials,,,
HNI,HNI Corp,Industrials,,,
HSC,Harsco Corp,Industrials,,,
HSII,Heidrick & Struggles Intl Inc,Industrials,,,
HTLD,Heartland Express Inc,Industrials,,,
HUB/B,Hubbell Inc B,Industrials,,,
HUBG,Hub Group Inc A,Industrials,,,
IEX,IDEX Corp,Industrials,,,
IIVI,II-VI Inc,Industrials,,,
ITT,ITT Corporation,Industrials,,,
JBHT,"""Hunt",Industrials,,,
JBLU,JetBlue Airways Corp,Industrials,,,
JBT,John Bean Technologies Corp,Industrials,,,
KAMN,Kaman Corp A,Industrials,,,
KBR,KBR Inc,Industrials,,,
KELYA,Kelly Services A,Industrials,,,
KEX,Kirby Corp,Industrials,,,
KFY,Korn Ferry Intl,Industrials,,,
KMT,Kennametal Inc,Industrials,,,
KNX,Knight Transportation Inc,Industrials,,,
LDL,Lydall Inc,Industrials,,,
LECO,Lincoln Electric Hldgs,Industrials,,,
LII,Lennox International Inc,Industrials,,,
LNN,Lindsay Corporation,Industrials,,,
LSTR,Landstar System Inc,Industrials,,,
MAN,Manpower Inc,Industrials,,,
MINI,Mobile Mini Inc,Industrials,,,
MLHR,"""Miller",Industrials,,,
MLI,Mueller Industries,Industrials,,,
MOG/A,Moog Inc A,Industrials,,,
MSA,Mine Safety Appliances,Industrials,,,
MSM,MSC Industrial Direct A,Industrials,,,
MWW,Monster Worldwide Inc,Industrials,,,
NCI,Navigant Consulting Co,Industrials,,,
NDSN,Nordson Corp,Industrials,,,
NPO,EnPro Industries Inc,Industrials,,,
NSP,"Insperity, Inc.",Industrials,,,
NX,Quanex Building Products Corporation,Industrials,,,
ODFL,Old Dominion Freight Line Inc,Industrials,,,
ORB,Orbital Sciences Corp,Industrials,,,
OSK,Oshkosh Corporation,Industrials,,,
PGTI,PGT Inc.,Industrials,,,
RBC,Regal Beloit Corp,Industrials,,,
RECN,Resources Connection Inc.,Industrials,,,
ROCK,Gibraltar Industries Inc,Industrials,,,
ROL,Rollins Inc,Industrials,,,
RRD,"""Donnelley",Industrials,,,
RRTS,Roadrunner Transportation Systems Inc.,Industrials,,,
SAIA,Saia Inc.,Industrials,,,
SKYW,SkyWest Inc,Industrials,,,
SPW,SPX Corp,Industrials,,,
SSD,Simpson Manufacturing Co Inc,Industrials,,,
SXI,Standex Intl Corp,Industrials,,,
SYKE,Sykes Enterprises Inc,Industrials,,,
TASR,Taser International Inc.,Industrials,,,
TBI,TrueBlue Inc,Industrials,,,
TDY,Teledyne Technologies Inc,Industrials,,,
TEX,Terex Corp,Industrials,,,
TG,Tredegar Corp,Industrials,,,
TGI,Triumph Group Inc,Industrials,,,
TILE,Interface Inc A,Industrials,,,
TKR,Timken Co,Industrials,,,
TNC,Tennant Co.,Industrials,,,
TRN,Trinity Industries Inc,Industrials,,,
TTC,Toro Co,Industrials,,,
TTEK,Tetra Tech Inc,Industrials,,,
TWI,Titan International Inc.,Industrials,,,
UFPI,Universal Forest Products,Industrials,,,
URI,United Rentals Inc,Industrials,,,
URS,URS Corp,Industrials,,,
USTR,United Stationers Inc,Industrials,,,
UTIW,UTi Worldwide Inc.,Industrials,,,
VICR,Vicor Corp,Industrials,,,
VMI,Valmont Industries Inc,Industrials,,,
VVI,Viad Corp,Industrials,,,
WAB,Wabtec,Industrials,,,
WAGE,WageWorks Inc.,Industrials,,,
WCN,Waste Connections Inc,Industrials,,,
WERN,Werner Enterprises Inc,Industrials,,,
WIRE,Encore Wire Corp,Industrials,,,
WSO,Watsco Inc,Industrials,,,
WTS,Watts Industries Inc A,Industrials,,,
WWD,Woodward Governor Co,Industrials,,,
XLS,Exelis Inc.,Industrials,,,
ACIW,ACI Worldwide Inc,Information Technology,,,
ACXM,Acxiom Corp,Information Technology,,,
ADTN,ADTRAN Inc,Information Technology,,,
ADVS,Advent Software Inc,Information Technology,,,
AEIS,Advanced Energy Industries,Information Technology,,,
AGYS,Agilysys Inc,Information Technology,,,
AMD,Advanced Micro Devices,Information Technology,,,
ANSS,ANSYS Inc,Information Technology,,,
ARRS,Arris Group Inc,Information Technology,,,
ARW,Arrow Electronics Inc,Information Technology,,,
ATML,Atmel Corp,Information Technology,,,
AVT,Avnet Inc,Information Technology,,,
AXE,Anixter Intl Inc,Information Technology,,,
BBOX,Black Box Corp,Information Technology,,,
BCOR,"Blucora, Inc.",Information Technology,,,
BELFB,Bel Fuse Inc B,Information Technology,,,
BHE,Benchmark Electronics Inc,Information Technology,,,
BLKB,Blackbaud Inc,Information Technology,,,
BR,Broadridge Financial Solutions LLC,Information Technology,,,
BRKS,Brooks Automation Inc,Information Technology,,,
CACI,CACI Intl Inc A,Information Technology,,,
CAMP,CalAmp Corp.,Information Technology,,,
CATM,Cardtronics Inc.,Information Technology,,,
CBR,CIBER Inc,Information Technology,,,
CCMP,Cabot Microelectronics Corp,Information Technology,,,
CDNS,Cadence Design Systems Inc,Information Technology,,,
CEVA,CEVA Inc.,Information Technology,,,
CGNX,Cognex Corp,Information Technology,,,
CIEN,CIENA Corp,Information Technology,,,
CKP,Checkpoint Systems Inc,Information Technology,,,
CMTL,Comtech Telecommunications,Information Technology,,,
CNQR,Concur Technologies Inc,Information Technology,,,
CNVR,"Conversant, Inc.",Information Technology,,,
COHR,Coherent Inc.,Information Technology,,,
COHU,Cohu Inc,Information Technology,,,
CPWR,Compuware Corp,Information Technology,,,
CREE,Cree Inc,Information Technology,,,
CRUS,Cirrus Logic Inc.,Information Technology,,,
CSGS,CSG Systems Intl Inc,Information Technology,,,
CTS,CTS Corp,Information Technology,,,
CVG,Convergys Corp,Information Technology,,,
CVLT,Commvault Systems,Information Technology,,,
CY,Cypress Semiconductor Corp,Information Technology,,,
DAKT,Daktronics Inc,Information Technology,,,
DBD,Diebold Inc,Information Technology,,,
DDD,3D Systems Corp.,Information Technology,,,
DGII,Digi Intl Inc,Information Technology,,,
DHX,"Dice Holdings, Inc.",Information Technology,,,
DIOD,Diodes Inc,Information Technology,,,
DRIV,Digital River Inc,Information Technology,,,
DSPG,DSP Group,Information Technology,,,
DST,DST Systems Inc,Information Technology,,,
DTSI,DTS Inc,Information Technology,,,
EBIX,Ebix.Com Inc,Information Technology,,,
EFII,Electronics For Imaging,Information Technology,,,
EGOV,NIC Inc.,Information Technology,,,
ENTR,Entropic Communications Inc.,Information Technology,,,
EPAY,Bottomline Technologies (de) Inc.,Information Technology,,,
EPIQ,Epiq Systems Inc,Information Technology,,,
EQIX,Equinix Inc,Information Technology,,,
ESIO,Electro Scientific Inc,Information Technology,,,
EXAR,Exar Corp,Information Technology,,,
EXLS,"Exlservice Holdings, Inc.",Information Technology,,,
FARO,FARO Technologies Inc,Information Technology,,,
FCS,Fairchild Semiconductor Intl A,Information Technology,,,
FDS,FactSet Research System Inc,Information Technology,,,
FEIC,FEI Company,Information Technology,,,
FICO,Fair Isaac & Co Inc,Information Technology,,,
FN,Fabrinet,Information Technology,,,
FORR,Forrester Research Inc,Information Technology,,,
FTNT,Fortinet Inc.,Information Technology,,,
GPN,Global Payments Inc,Information Technology,,,
GTAT,GT Advanced Technologies Inc.,Information Technology,,,
HITT,Hittite Microwave Corp,Information Technology,,,
HLIT,Harmonic Inc,Information Technology,,,
HPY,Heartland Payment Systems,Information Technology,,,
IDCC,InterDigital Inc.,Information Technology,,,
IDTI,Integrated Device Technology,Information Technology,,,
IGTE,iGATE Corp.,Information Technology,,,
IM,Ingram Micro Inc A,Information Technology,,,
INFA,Informatica Corp,Information Technology,,,
IRF,Intl Rectifier Corp,Information Technology,,,
ISIL,Intersil Corp A,Information Technology,,,
IT,Gartner Inc,Information Technology,,,
ITRI,Itron Inc,Information Technology,,,
IVAC,Intevac Inc,Information Technology,,,
JCOM,J2 Global Communications Inc,Information Technology,,,
JDSU,JDS Uniphase Corp,Information Technology,,,
JKHY,"""Henry",Information Technology,,,
KLIC,Kulicke & Soffa Industries,Information Technology,,,
KN,Knowles Corp.,Information Technology,,,
KOPN,Kopin Corp,Information Technology,,,
LDOS,"Leidos Holdings, Inc.",Information Technology,,,
LFUS,Littelfuse Inc,Information Technology,,,
LOGM,LogMeIn Inc.,Information Technology,,,
LPSN,LivePerson Inc.,Information Technology,,,
LXK,Lexmark International Inc,Information Technology,,,
MANH,Manhattan Associates Inc,Information Technology,,,
MANT,Mantech Intl Corp A,Information Technology,,,
MCRL,Micrel Inc,Information Technology,,,
MCRS,MICROS Systems Inc,Information Technology,,,
MEAS,Measurement Specialties Inc.,Information Technology,,,
MEI,Methode Electronics Inc,Information Technology,,,
MENT,Mentor Graphics Corp,Information Technology,,,
MKSI,MKS Instruments Inc,Information Technology,,,
MMS,MAXIMUS Inc,Information Technology,,,
MRCY,Mercury Computer Systems Inc,Information Technology,,,
MSCC,Microsemi Corp,Information Technology,,,
MTSC,MTS Systems Corp,Information Technology,,,
NANO,Nanometrics Inc.,Information Technology,,,
NATI,National Instruments Corp,Information Technology,,,
NCR,NCR Corp,Information Technology,,,
NEWP,Newport Corp,Information Technology,,,
NSIT,Insight Enterprises Inc,Information Technology,,,
NSR,NeuStar,Information Technology,,,
NTCT,Netscout Systems Inc,Information Technology,,,
NTGR,Netgear Inc,Information Technology,,,
ONE,Higher One Holdings,Information Technology,,,
OPEN,"OpenTable, Inc",Information Technology,,,
OPLK,"Oplink Communications, Inc.",Information Technology,,,
PAY,VeriFone Systems Inc.,Information Technology,,,
PKE,Park Electrochemical,Information Technology,,,
PKT,"Procera Networks, Inc.",Information Technology,,,
PLCM,Polycom Inc,Information Technology,,,
PLT,Plantronics Inc,Information Technology,,,
PLXS,Plexus Corp,Information Technology,,,
POWI,Power Integrations Inc.,Information Technology,,,
PRFT,Perficient Inc,Information Technology,,,
PRGS,Progress Software Corp,Information Technology,,,
PSEM,Pericom Semiconductor Corp,Information Technology,,,
PTC,PTC Inc.,Information Technology,,,
QLGC,QLogic Corp,Information Technology,,,
QNST,"QuinStreet, Inc.",Information Technology,,,
RBCN,Rubicon Technology Inc.,Information Technology,,,
RFMD,RF Micro Devices Inc,Information Technology,,,
ROG,Rogers Corp,Information Technology,,,
ROVI,Rovi Corp,Information Technology,,,
RSTI,Rofin-Sinar Technologies Inc.,Information Technology,,,
RTEC,Rudolph Technologies Inc,Information Technology,,,
RVBD,Riverbed Technology Inc.,Information Technology,,,
SANM,Sanmina Corp.,Information Technology,,,
SCOR,Comscore Inc,Information Technology,,,
SCSC,ScanSource Inc,Information Technology,,,
SLAB,Silicon Laboratories Inc,Information Technology,,,
SLH,Solera Holdings Inc,Information Technology,,,
SMCI,"Super Micro Computer, Inc.",Information Technology,,,
SMTC,Semtech Corp,Information Technology,,,
SNCR,Synchronoss Technologies Inc.,Information Technology,,,
SNPS,Synopsys Inc,Information Technology,,,
SNX,Synnex Corp,Information Technology,,,
SUNE,"SunEdison, Inc.",Information Technology,,,
SWI,SolarWinds Inc.,Information Technology,,,
SWKS,Skyworks Solutions Inc,Information Technology,,,
SYNA,Synaptics Inc,Information Technology,,,
TECD,Tech Data Corp,Information Technology,,,
TER,Teradyne Inc,Information Technology,,,
TIBX,TIBCO Software Inc,Information Technology,,,
TNGO,Tangoe Inc.,Information Technology,,,
TQNT,Triquint Semiconductor,Information Technology,,,
TRAK,DealerTrack Holdings,Information Technology,,,
TRMB,Trimble Navigation Ltd,Information Technology,,,
TTEC,TELETECH HOLDINGS INC,Information Technology,,,
TTMI,TTM Technologies Inc,Information Technology,,,
TTWO,Take-Two Interactive Software,Information Technology,,,
TYL,Tyler Technologies Inc,Information Technology,,,
TYPE,Monotype Imaging Holdings Inc.,Information Technology,,,
UTEK,Ultratech Stepper Inc,Information Technology,,,
VDSI,"VASCO Data Security International, Inc.",Information Technology,,,
VECO,Veeco Instruments Inc,Information Technology,,,
VRTU,Virtusa Corp.,Information Technology,,,
VSAT,ViaSat Inc,Information Technology,,,
VSH,Vishay Intertechnology Inc,Information Technology,,,
WEX,WEX Inc.,Information Technology,,,
XOXO,"XO Group, Inc.",Information Technology,,,
XXIA,Ixia,Information Technology,,,
ZBRA,Zebra Technologies Corp A,Information Technology,,,
AKS,AK Steel Hldg Corp,Materials,,,
ALB,Albemarle Corp,Materials,,,
ASH,Ashland Inc,Materials,,,
ATR,AptarGroup Inc,Materials,,,
AVD,American Vanguard Corp,Materials,,,
BCC,Boise Cascade Co.,Materials,,,
BCPC,Balchem Corp,Materials,,,
CAS,"""Castle",Materials,,,
CBT,Cabot Corp,Materials,,,
CCC,Calgon Carbon Corp,Materials,,,
CENX,Century Aluminum Co,Materials,,,
CLF,Cliffs Natural Resources Inc,Materials,,,
CLW,Clearwater Paper Corp,Materials,,,
CMC,Commercial Metals Co,Materials,,,
CMP,Compass Minerals International,Materials,,,
CRS,Carpenter Technology Corp,Materials,,,
CYT,Cytec Industries Inc,Materials,,,
DEL,Deltic Timber,Materials,,,
EXP,Eagle Materials Inc,Materials,,,
FF,FutureFuel Corp.,Materials,,,
FTK,Flotek Industries Inc.,Materials,,,
FUL,"""Fuller",Materials,,,
GEF,Greif Bros Corp,Materials,,,
GLT,P.H. Glatfelter Company,Materials,,,
GSM,"Globe Specialty Metals, Inc.",Materials,,,
HAYN,Haynes International Inc.,Materials,,,
HW,Headwaters Inc,Materials,,,
HWKN,Hawkins Inc.,Materials,,,
IPHS,Innophos Holdings,Materials,,,
KOP,Koppers Holdings Inc.,Materials,,,
KRA,Kraton Performance Polymers Inc.,Materials,,,
KS,KapStone Paper and Packaging Corp.,Materials,,,
KWR,Quaker Chemical Corp,Materials,,,
LPX,Louisiana Pacific Corp,Materials,,,
MLM,Martin Marietta Materials,Materials,,,
MTRN,Materion Corp.,Materials,,,
MTX,Minerals Technologies Inc,Materials,,,
MYE,Myers Industries Inc,Materials,,,
NEU,NewMarket Corp,Materials,,,
NP,Neenah Paper Inc,Materials,,,
OLN,Olin Corp,Materials,,,
OMG,OM Group,Materials,,,
PKG,Packaging Corp of America,Materials,,,
POL,PolyOne Corp,Materials,,,
RGLD,"Royal Gold, Inc.",Materials,,,
RKT,Rock-Tenn A,Materials,,,
RPM,RPM International Inc.,Materials,,,
RS,Reliance Steel & Aluminum,Materials,,,
RTI,RTI International Metals Inc,Materials,,,
SCL,Stepan Co,Materials,,,
SHLM,"""Schulman",Materials,,,
SLCA,U.S. Silica Holdings Inc.,Materials,,,
SMG,Scotts Co A,Materials,,,
SON,Sonoco Products Co,Materials,,,
STLD,Steel Dynamics Inc,Materials,,,
SWC,Stillwater Mining Co.,Materials,,,
SWM,Schweitzer-Mauduit,Materials,,,
SXC,SunCoke Energy Inc.,Materials,,,
SXT,Sensient Technologies Corp,Materials,,,
TXI,Texas Industries Inc,Materials,,,
UFS,Domtar Corp.,Materials,,,
VAL,Valspar Corp,Materials,,,
WOR,Worthington Industries Inc,Materials,,,
WPP,Wausau Paper Corp.,Materials,,,
ZEP,Zep Inc,Materials,,,
ZEUS,Olympic Steel,Materials,,,
ALGT,Allegiant Travel Co,Services,,,
BH,Biglari Holdings Inc,Services,,,
BYI,Bally Technologies Inc,Services,,,
LL,Lumber Liquidators Holdings Inc,Services,,,
MED,Medifast Inc,Services,,,
SZMK,"Digital Generation, Inc.",Services,,,
TW,Towers Watson & Co,Services,,,
AOL,AOL Inc,Technology,,,
ININ,Interactive Intelligence Inc,Technology,,,
MSTR,MicroStrategy Inc A,Technology,,,
NTLS,NTELOS Hldg,Technology,,,
OSIS,OSI Systems Inc,Technology,,,
TSRA,Tessera Technologies,Technology,,,
TWTC,tw telecom inc,Technology,,,
ATNI,Atlantic Tele-Network,Telecommunciation Services,,,
LMOS,Lumos Networks Corp.,Telecommunications,,,
CBB,Cincinnati Bell Inc,Telecommunications Services,,,
CBEY,"""Cbeyond",Telecommunications Services,,,
EGHT,8x8 Inc.,Telecommunications Services,,,
GNCMA,General Communication A,Telecommunications Services,,,
TDS,Telephone & Data Systems Inc,Telecommunications Services,,,
USMO,USA Mobility Inc,Telecommunications Services,,,
ALE,Allete Inc,Utilities,,,
ATO,Atmos Energy Corp,Utilities,,,
AVA,Avista Corp,Utilities,,,
AWR,American States Water Co,Utilities,,,
BKH,Black Hills Corp,Utilities,,,
CNL,Cleco Corp,Utilities,,,
EE,El Paso Electric Co,Utilities,,,
EGN,Energen Corp,Utilities,,,
GXP,Great Plains Energy Inc,Utilities,,,
HE,Hawaiian Electric Industries,Utilities,,,
IDA,IDACORP Inc,Utilities,,,
LG,Laclede Group Inc,Utilities,,,
LNT,Alliant Energy Corp,Utilities,,,
MDU,MDU Resources Group Inc,Utilities,,,
NFG,National Fuel Gas,Utilities,,,
NJR,New Jersey Resources Corp,Utilities,,,
NWE,Northwestern Corp,Utilities,,,
NWN,Northwest Natural Gas Co,Utilities,,,
OGE,OGE Energy Corp,Utilities,,,
OGS,ONE Gas Inc.,Utilities,,,
PNM,PNM Resources Inc,Utilities,,,
PNY,Piedmont Natural Gas Inc,Utilities,,,
SJI,South Jersey Industries Inc,Utilities,,,
STR,Questar Corp,Utilities,,,
SWX,Southwest Gas Corp,Utilities,,,
UGI,UGI Corp,Utilities,,,
UIL,Uil Holdings Corp,Utilities,,,
UNS,Unisource Energy Co,Utilities,,,
VVC,Vectren Corp,Utilities,,,
WGL,WGL Holdings Inc,Utilities,,,
WR,Westar Energy Inc,Utilities,,,
WTR,Aqua America Inc,Utilities,,,
ENSG,THE ENSIGN GROUP,,,,
IBKR,Interactive Brokers Group A,,,,
KALU,Kaiser Aluminum,,,,
KIRK,Kirkland's Inc,,,,
LQDT,Liquidity Services,,,,
MDRX,Allscript Healthcare Solutions Inc,,,,
MPWR,Monolitic Power Systems,,,,
MSCI,MSCI Inc-A,,,,
ORN,ORION MARINE GRP,,,,
RAX,Rackspace Hosting Inc,,,,
SHOO,Steven Madden Ltd,,,,
UHT,Universal Health Realty Trust,,,,
